Lake ,Pload,TP,Chla
Acton,4.7,0.09,
Bryrup Langsø,3.9,0.1,
Bryrup Langsø,3.1,0.1,
Burr Oak,0.97,0.01,
ELA 226 1973,0.61,0.016,
ELA 226 1974,0.61,0.018,
ELA 226 1975,0.61,0.025,
ELA 227 Moderate N,2.4,0.036,
ELA 227 Low N,2.3,0.036,
ELA 227 Zero N,2.5,0.05,
ELA 239,0.03,0.007,
ELA 261,0.28,0.017,
Elmdale,3.2,0.077777778,
Erie,0.6,0.062,
Fayetteville,7.1,0.102222222,
Halle sø,2.6,,
Halle sø,2.2,,
Kinneret,0.6,0.022,
Kinneret,1.7,0.022,
Kul sø,13,,
Kul sø,9.1,,
Kvind sø,17,,
Kvind sø,11,,
Lough Neagh,1.1,0.12,
Malawi,0.45,0.004,
MB/LC,2.4,0.068,
Mendota,1.6,0.031,
Mirror,0.15,,
Norrviken,4,,
Okeechobee,0.3,0.072,
Pleasant Hill,4.3,0.05,
Rietvlei,27,0.95,
Rietvlei,23,0.75,
Salten Langsø,3.9,,
Salten Langsø,3.2,,
Sammamish,0.66,0.025,
Stigsholm,7,,
Stigsholm,4.5,,
Superior,0.04,0.002,
Taihu,0.8,0.08,
Valencia,3.1,,
Waco,6,0.257,
Washington,0.43,0.015,
Wedington,0.93,0.055,
Wingra,0.93,,
Ladoga,,0.018,
huron,0.07,,
superior,0.03,0.04,
michigan,0.1,,
Clear,0.04,0.025,
Tahoe,0.042,,
Aegeri,0.16,0.03,
Chemung,0.22,,
Turler,0.3,,
Chautauqua,0.34,,
Washington,0.46,,
Lake 227 (Schindler 2008),0.48,,
Cayuga,0.55,,
Hallwiler,0.55,,
Esrom,0.6,,
Shawaga,0.65,,
Wedington (Grantz 2014),0.65,,
Ontario,0.68,,
Harriet,0.71,,
Burr Oak (Vanni et al. 2011),0.79,,
Zurich,1.32,,
Saratoga,1.6,,
Baldegger,1.75,,
Elmdale (Grantz et al. 2014),3.2,,
Maggiore,3.39,,
Pleasant Hills (Vanni et al. 2011),4.25,,
Acton (Vanni et al. 2011),4.74,,
Fayetville (Grantz et al. 2014),7.1,,
Bergundasjoen,8.8,,
FIL,4.49,0.075,
HIN,2.27,0.068,
VIL,4.493,0.051,
Blue Chalk,0.0441,0.00631,
Chub,0.0997,0.01065,
Crosson,0.0987,0.01103,
Dickie,0.1684,0.01124,
Harp,0.2,0.00751,
Jerry,0.1753,0.00913,
Plastic,0.0327,0.00589,
Red Chalk,0.0917,0.0058,
Mendota,1.58,0.14,
Onodaga,8.37,,
Shagawa,0.697,0.0501,
"Twin, east",0.67,0.0887,
Twin west,0.42,0.1156,
"Erie, central",0.73,0.0194,
Huron,0.082,0.0055,
Superior,0.05,0.0046,
Brunner,0.06,0.0065,
Long,0.12,0.03,
Canandaigua,0.12,0.055,
Cajuga,0.55,,
