Year published,journal title,DOI,system.location,flow category,Mesh_Size_Category,Setting,biome,Detritus_Type,Species,Time.Series_ID,Measurement Day,Start_Year,Start_Month,Start_Day,Temperature (deg C),Mass remaining (%),Initial_Mass_g,k,CN_ratio,Ergosterol_microg/g,Altitude_meters,Latitude,Longitude
2019,Functional Ecology,10.1111/1365-2435.13356,stream,riffle,5,field,Woodland/shrubland,leaves,Alnus glutinosa,1,0,2011,11,2,10.7,100,2.8,0.0566,23.25,NA,80,40.31,-8.39
2019,Functional Ecology,10.1111/1365-2435.13356,stream,riffle,5,field,Woodland/shrubland,leaves,Alnus glutinosa,1,7,2011,11,2,10.7,77.73,2.8,0.0566,NA,NA,80,40.31,-8.39
2019,Functional Ecology,10.1111/1365-2435.13356,stream,riffle,5,field,Woodland/shrubland,leaves,Alnus glutinosa,1,14,2011,11,2,10.7,70.1,2.8,0.0566,15.29,NA,80,40.31,-8.39
2019,Functional Ecology,10.1111/1365-2435.13356,stream,riffle,5,field,Woodland/shrubland,leaves,Alnus glutinosa,1,28,2011,11,2,10.7,30.66,2.8,0.0566,13.4,NA,80,40.31,-8.39
2019,Functional Ecology,10.1111/1365-2435.13356,stream,riffle,5,field,Woodland/shrubland,leaves,Alnus glutinosa,1,56,2011,11,2,10.7,6.57,2.8,0.0566,NA,NA,80,40.31,-8.39
2019,Functional Ecology,10.1111/1365-2435.13356,stream,riffle,5,field,Woodland/shrubland,leaves,Populus canadensis,2,0,2011,11,2,10.7,100,2.8,0.0234,67.28,NA,80,40.31,-8.39
2019,Functional Ecology,10.1111/1365-2435.13356,stream,riffle,5,field,Woodland/shrubland,leaves,Populus canadensis,2,7,2011,11,2,10.7,72.03,2.8,0.0234,NA,NA,80,40.31,-8.39
2019,Functional Ecology,10.1111/1365-2435.13356,stream,riffle,5,field,Woodland/shrubland,leaves,Populus canadensis,2,14,2011,11,2,10.7,63.64,2.8,0.0234,38.73,NA,80,40.31,-8.39
2019,Functional Ecology,10.1111/1365-2435.13356,stream,riffle,5,field,Woodland/shrubland,leaves,Populus canadensis,2,28,2011,11,2,10.7,53.84,2.8,0.0234,33.59,NA,80,40.31,-8.39
2019,Functional Ecology,10.1111/1365-2435.13356,stream,riffle,5,field,Woodland/shrubland,leaves,Populus canadensis,2,56,2011,11,2,10.7,24.48,2.8,0.0234,NA,NA,80,40.31,-8.39
2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,riffle,5,field,Temperate forest,leaves,Populus nigra,1,0,2013,8,29,16,100,3.27,0.053,108.9,NA,NA,42.14,2.45
2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,riffle,5,field,Temperate forest,leaves,Populus nigra,1,1,2013,8,29,16,72.35,3.27,0.053,76.6,NA,NA,42.14,2.45
2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,riffle,5,field,Temperate forest,leaves,Populus nigra,1,4,2013,8,29,16,45.47,3.27,0.053,46.72,NA,NA,42.14,2.45
2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,riffle,5,field,Temperate forest,leaves,Populus nigra,1,8,2013,8,29,16,28.59,3.27,0.053,26.35,NA,NA,42.14,2.45
2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,riffle,5,field,Temperate forest,leaves,Populus nigra,1,11,2013,8,29,16,18.03,3.27,0.053,18.7,NA,NA,42.14,2.45
2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,isolated_pool,5,field,Temperate forest,leaves,Populus nigra,2,0,2013,8,29,17.8,100,3.27,0.044,108.9,NA,NA,42.14,2.45
2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,isolated_pool,5,field,Temperate forest,leaves,Populus nigra,2,1,2013,8,29,17.8,64.4,3.27,0.044,67.02,NA,NA,42.14,2.45
2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,isolated_pool,5,field,Temperate forest,leaves,Populus nigra,2,4,2013,8,29,17.8,47.14,3.27,0.044,50.25,NA,NA,42.14,2.45
2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,isolated_pool,5,field,Temperate forest,leaves,Populus nigra,2,8,2013,8,29,17.8,37.8,3.27,0.044,47.56,NA,NA,42.14,2.45
2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,isolated_pool,5,field,Temperate forest,leaves,Populus nigra,2,11,2013,8,29,17.8,33.93,3.27,0.044,43.4,NA,NA,42.14,2.45
2014,Acta Zoologica Bulgarica,NA,lake,NA,1,field,Woodland/shrubland,leaves,Salix alba,1,0,2009,6,9,22.5,100,8,0.011,24.05,58.56,NA,46.191483,18.84895
2014,Acta Zoologica Bulgarica,NA,lake,NA,1,field,Woodland/shrubland,leaves,Salix alba,1,2,2009,6,9,22.5,81.12,8,0.011,21.29,118.31,NA,46.191483,18.84895
2014,Acta Zoologica Bulgarica,NA,lake,NA,1,field,Woodland/shrubland,leaves,Salix alba,1,42,2009,6,9,22.5,38.97,8,0.011,15.48,241.31,NA,46.191483,18.84895
2014,Acta Zoologica Bulgarica,NA,lake,NA,1,field,Woodland/shrubland,leaves,Salix alba,1,84,2009,6,9,22.5,33.32,8,0.011,17.14,208.44,NA,46.191483,18.84895
2014,Acta Zoologica Bulgarica,NA,lake,NA,1,field,Woodland/shrubland,leaves,Salix alba,1,119,2009,6,9,22.5,28.34,8,0.011,18.1,222.6,NA,46.191483,18.84895
2014,Acta Zoologica Bulgarica,NA,lake,NA,1,field,Woodland/shrubland,leaves,Salix alba,1,140,2009,6,9,22.5,30.58,8,0.011,15.95,141.18,NA,46.191483,18.84895
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,0.04,field,Woodland/shrubland,leaves,Salix alba,1,0,2008,3,12,13.9,100,8,0.0096,28.1,25.26315789,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,0.04,field,Woodland/shrubland,leaves,Salix alba,1,2,2008,3,12,13.9,78.78024194,8,0.0096,NA,63.15789474,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,0.04,field,Woodland/shrubland,leaves,Salix alba,1,35,2008,3,12,13.9,65.1933651,8,0.0096,NA,240,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,0.04,field,Woodland/shrubland,leaves,Salix alba,1,62,2008,3,12,13.9,51.5542522,8,0.0096,NA,315.7894737,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,1,field,Woodland/shrubland,leaves,Salix alba,2,0,2008,3,12,13.9,100,8,0.0015,28.1,31.57894737,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,1,field,Woodland/shrubland,leaves,Salix alba,2,2,2008,3,12,13.9,79.7204912,8,0.0015,NA,50.52631579,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,1,field,Woodland/shrubland,leaves,Salix alba,2,35,2008,3,12,13.9,77.38361437,8,0.0015,NA,44.21052632,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,1,field,Woodland/shrubland,leaves,Salix alba,2,62,2008,3,12,13.9,42.17375367,8,0.0015,NA,202.1052632,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,0.04,field,Woodland/shrubland,leaves,Populus spphybrids,3,0,2008,3,12,13.9,100,8,0.0105,64.8,70.21276596,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,0.04,field,Woodland/shrubland,leaves,Populus spphybrids,3,2,2008,3,12,13.9,69.47368421,8,0.0105,NA,255.6810704,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,0.04,field,Woodland/shrubland,leaves,Populus spphybrids,3,35,2008,3,12,13.9,56.84210526,8,0.0105,NA,460.0679974,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,0.04,field,Woodland/shrubland,leaves,Populus spphybrids,3,62,2008,3,12,13.9,46.01503759,8,0.0105,NA,529.5569204,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,1,field,Woodland/shrubland,leaves,Populus spphybrids,4,0,2008,3,12,13.9,100,8,0.01,64.8,63.86268919,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,1,field,Woodland/shrubland,leaves,Populus spphybrids,4,2,2008,3,12,13.9,75.78947368,8,0.01,NA,108.8725598,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,1,field,Woodland/shrubland,leaves,Populus spphybrids,4,35,2008,3,12,13.9,74.88721805,8,0.01,NA,172.8339548,NA,46.22333,18.86804
2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,depositional_side_channel,1,field,Woodland/shrubland,leaves,Populus spphybrids,4,62,2008,3,12,13.9,40.60150376,8,0.01,NA,312.5356438,NA,46.22333,18.86804
